y	cat_boost_cleaned_bert	forest_cleaned_bert	log_cleaned_bert	neigh_cleaned_bert	cleaned_majority_label_bert
not-malayalam	not-malayalam	Positive	not-malayalam	unknown_state	not-malayalam
Positive	Negative	Negative	Positive	unknown_state	Negative
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Mixed_feelings	Positive	unknown_state	Positive	Positive	Positive
not-malayalam	not-malayalam	Positive	Positive	not-malayalam	Positive
Positive	Positive	Positive	Positive	not-malayalam	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Mixed_feelings	Positive	Negative	Positive	unknown_state	Positive
Positive	Positive	Positive	unknown_state	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
unknown_state	unknown_state	Positive	unknown_state	Negative	unknown_state
Positive	Positive	Positive	Positive	Mixed_feelings	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Negative	Positive	unknown_state	Positive
Positive	Positive	Positive	unknown_state	Mixed_feelings	Positive
Negative	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	unknown_state	unknown_state	Positive
Negative	Positive	Positive	Positive	Negative	Positive
not-malayalam	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Negative	unknown_state	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Positive	unknown_state	not-malayalam	unknown_state
Positive	Negative	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	unknown_state	Positive
unknown_state	unknown_state	unknown_state	Positive	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	Positive	Positive	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
not-malayalam	unknown_state	Positive	Positive	Positive	Positive
Negative	Positive	unknown_state	Negative	Positive	Positive
not-malayalam	unknown_state	not-malayalam	not-malayalam	Positive	not-malayalam
Positive	unknown_state	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed_feelings	unknown_state	not-malayalam	unknown_state	Mixed_feelings	unknown_state
Negative	Negative	Positive	Negative	Positive	Negative
unknown_state	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	not-malayalam	not-malayalam	Positive
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Positive	Negative	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Positive	Positive	Positive	Positive
Mixed_feelings	Positive	unknown_state	Positive	unknown_state	Positive
Mixed_feelings	Negative	unknown_state	Positive	unknown_state	unknown_state
unknown_state	Negative	unknown_state	Negative	unknown_state	Negative
Negative	Positive	Positive	Positive	not-malayalam	Positive
Positive	Positive	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	Negative	unknown_state	unknown_state	Positive	unknown_state
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
unknown_state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	unknown_state	Positive	Positive
unknown_state	unknown_state	Positive	Positive	Positive	Positive
not-malayalam	not-malayalam	unknown_state	not-malayalam	not-malayalam	not-malayalam
Positive	Positive	unknown_state	Negative	Mixed_feelings	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	unknown_state	Positive	Positive	Positive
Mixed_feelings	Positive	Positive	Positive	Positive	Positive
not-malayalam	Positive	Positive	Positive	not-malayalam	Positive
Positive	Positive	unknown_state	unknown_state	unknown_state	unknown_state
Negative	Positive	unknown_state	unknown_state	unknown_state	unknown_state
not-malayalam	not-malayalam	unknown_state	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	unknown_state	unknown_state	Positive	unknown_state	unknown_state
unknown_state	Positive	Positive	unknown_state	Positive	Positive
unknown_state	Positive	Positive	unknown_state	Positive	Positive
unknown_state	Positive	Positive	Positive	unknown_state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	Positive	Mixed_feelings	Positive
unknown_state	unknown_state	unknown_state	unknown_state	Negative	unknown_state
Positive	Positive	Mixed_feelings	Positive	Positive	Positive
unknown_state	unknown_state	not-malayalam	unknown_state	unknown_state	unknown_state
Negative	Mixed_feelings	unknown_state	Positive	Mixed_feelings	Mixed_feelings
unknown_state	Mixed_feelings	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
not-malayalam	not-malayalam	unknown_state	Positive	not-malayalam	not-malayalam
unknown_state	Positive	Positive	Positive	unknown_state	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	Positive	Positive	Positive
Mixed_feelings	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-malayalam	unknown_state	not-malayalam	not-malayalam	not-malayalam	not-malayalam
Negative	not-malayalam	not-malayalam	unknown_state	not-malayalam	not-malayalam
Positive	Positive	Positive	Positive	Positive	Positive
Positive	unknown_state	Positive	unknown_state	Positive	Positive
Mixed_feelings	Positive	unknown_state	unknown_state	unknown_state	unknown_state
not-malayalam	Positive	Positive	Positive	not-malayalam	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Negative	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
Mixed_feelings	unknown_state	Positive	unknown_state	Positive	Positive
not-malayalam	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Negative	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
not-malayalam	unknown_state	unknown_state	Positive	Negative	unknown_state
unknown_state	Positive	Positive	Positive	Positive	Positive
Positive	not-malayalam	Positive	Positive	Positive	Positive
Positive	unknown_state	Positive	Positive	Positive	Positive
not-malayalam	Positive	Positive	Positive	not-malayalam	Positive
Negative	unknown_state	Positive	unknown_state	Mixed_feelings	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Negative	not-malayalam	Negative	Negative
unknown_state	Positive	Positive	unknown_state	unknown_state	Positive
Positive	Negative	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Negative	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Mixed_feelings	Positive
Mixed_feelings	unknown_state	Mixed_feelings	unknown_state	Mixed_feelings	Mixed_feelings
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
unknown_state	Positive	unknown_state	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Positive	Positive	Negative	Positive
Positive	Positive	Negative	Positive	Positive	Positive
unknown_state	unknown_state	Positive	unknown_state	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	unknown_state	Positive
unknown_state	Negative	Positive	Positive	unknown_state	Positive
Positive	Positive	Negative	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
unknown_state	Mixed_feelings	Negative	unknown_state	Positive	Negative
Positive	Positive	unknown_state	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	not-malayalam	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	unknown_state	Positive	Positive
Mixed_feelings	Mixed_feelings	unknown_state	Positive	Mixed_feelings	Mixed_feelings
unknown_state	Positive	Positive	unknown_state	Positive	Positive
Positive	unknown_state	unknown_state	Positive	Positive	Positive
Positive	unknown_state	Positive	unknown_state	Positive	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	unknown_state	Positive	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	Positive	Positive	unknown_state	Positive
not-malayalam	Positive	Positive	Positive	not-malayalam	Positive
Positive	unknown_state	Negative	unknown_state	Positive	unknown_state
unknown_state	Positive	Positive	Positive	Positive	Positive
Positive	unknown_state	unknown_state	unknown_state	Positive	unknown_state
Mixed_feelings	Positive	Positive	Positive	unknown_state	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	not-malayalam	Positive	unknown_state	unknown_state	unknown_state
Negative	unknown_state	unknown_state	unknown_state	Negative	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	unknown_state	Mixed_feelings	Positive
Mixed_feelings	Positive	Positive	Positive	Positive	Positive
Negative	unknown_state	unknown_state	unknown_state	Positive	unknown_state
Positive	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Mixed_feelings	Positive	not-malayalam	Positive	Positive	Positive
Negative	Mixed_feelings	Positive	Positive	unknown_state	Positive
Positive	Positive	Positive	Positive	Negative	Positive
not-malayalam	not-malayalam	Positive	not-malayalam	not-malayalam	not-malayalam
unknown_state	unknown_state	Positive	unknown_state	Positive	Positive
Positive	Positive	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	Positive	Positive	Positive
Negative	unknown_state	unknown_state	Negative	Positive	unknown_state
Mixed_feelings	Positive	Positive	unknown_state	Positive	Positive
unknown_state	Negative	Positive	Positive	Negative	Negative
Positive	unknown_state	unknown_state	Positive	Negative	unknown_state
unknown_state	Positive	Positive	unknown_state	Positive	Positive
not-malayalam	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	Positive	unknown_state
Positive	Positive	Positive	unknown_state	Positive	Positive
Positive	Positive	Positive	unknown_state	Positive	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
Negative	Negative	Negative	Positive	Negative	Negative
not-malayalam	Positive	Positive	unknown_state	Positive	Positive
Positive	Negative	unknown_state	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Positive	Positive	Positive
Negative	unknown_state	unknown_state	unknown_state	Mixed_feelings	unknown_state
unknown_state	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	unknown_state	Positive
Mixed_feelings	Positive	Positive	Positive	not-malayalam	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
Positive	unknown_state	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	unknown_state	Positive	Positive	Positive
Mixed_feelings	Negative	Positive	unknown_state	Positive	Positive
Mixed_feelings	Positive	Positive	unknown_state	Mixed_feelings	Positive
not-malayalam	Positive	Positive	unknown_state	not-malayalam	Positive
Positive	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-malayalam	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	Positive	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed_feelings	Positive	Positive	Positive	not-malayalam	Positive
Positive	Positive	Positive	Positive	not-malayalam	Positive
Mixed_feelings	Positive	Positive	Positive	Positive	Positive
Positive	unknown_state	Positive	Positive	unknown_state	Positive
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
Positive	unknown_state	Positive	Positive	not-malayalam	Positive
Positive	Positive	unknown_state	unknown_state	Positive	Positive
Mixed_feelings	Negative	unknown_state	Positive	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	Positive	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	Positive	unknown_state	Positive
Negative	Negative	Negative	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	unknown_state	unknown_state	Positive	Negative	unknown_state
unknown_state	unknown_state	not-malayalam	unknown_state	unknown_state	unknown_state
unknown_state	Negative	Negative	Negative	Negative	Negative
unknown_state	unknown_state	unknown_state	unknown_state	Mixed_feelings	unknown_state
not-malayalam	Positive	Positive	not-malayalam	Positive	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
Positive	Positive	Negative	unknown_state	Negative	Negative
unknown_state	unknown_state	unknown_state	unknown_state	not-malayalam	unknown_state
Negative	unknown_state	unknown_state	unknown_state	Negative	unknown_state
Positive	unknown_state	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	unknown_state	Positive
Mixed_feelings	unknown_state	unknown_state	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Positive	Negative
Positive	Positive	Positive	Positive	Negative	Positive
Positive	unknown_state	unknown_state	Positive	unknown_state	unknown_state
not-malayalam	not-malayalam	Positive	not-malayalam	not-malayalam	not-malayalam
not-malayalam	not-malayalam	not-malayalam	not-malayalam	not-malayalam	not-malayalam
Positive	unknown_state	unknown_state	unknown_state	Positive	unknown_state
not-malayalam	not-malayalam	Positive	unknown_state	not-malayalam	not-malayalam
Negative	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	unknown_state	Positive
Positive	Negative	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	unknown_state	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	unknown_state	Positive	Positive	Positive	Positive
unknown_state	Negative	Positive	unknown_state	Positive	Positive
Positive	Positive	unknown_state	Positive	Positive	Positive
Positive	Positive	unknown_state	Positive	Mixed_feelings	Positive
Positive	not-malayalam	not-malayalam	not-malayalam	unknown_state	not-malayalam
unknown_state	unknown_state	Positive	unknown_state	Positive	Positive
unknown_state	unknown_state	not-malayalam	unknown_state	Positive	unknown_state
Positive	Positive	Positive	Positive	unknown_state	Positive
Positive	unknown_state	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	Positive	Positive	Positive
Positive	Positive	Positive	unknown_state	Positive	Positive
Negative	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Negative	unknown_state	unknown_state	unknown_state	Positive	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Positive	unknown_state	Negative	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	unknown_state	unknown_state	Positive	Positive	Positive
unknown_state	unknown_state	Positive	Positive	unknown_state	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	Positive	unknown_state	unknown_state
Positive	Positive	unknown_state	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Negative	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Negative	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Positive	Negative	Positive	Negative
unknown_state	unknown_state	unknown_state	Negative	unknown_state	unknown_state
Negative	Negative	Negative	Positive	Negative	Negative
Mixed_feelings	unknown_state	Mixed_feelings	unknown_state	Mixed_feelings	Mixed_feelings
unknown_state	Negative	Positive	unknown_state	unknown_state	unknown_state
Positive	Negative	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	Positive	Negative	Positive
Positive	not-malayalam	not-malayalam	not-malayalam	not-malayalam	not-malayalam
Mixed_feelings	Positive	unknown_state	unknown_state	Positive	Positive
not-malayalam	not-malayalam	not-malayalam	unknown_state	not-malayalam	not-malayalam
not-malayalam	Positive	not-malayalam	Positive	Positive	Positive
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Negative	unknown_state	unknown_state	unknown_state	Negative	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Negative	Negative
Positive	Positive	unknown_state	Positive	Positive	Positive
Positive	Positive	unknown_state	Positive	Positive	Positive
Positive	Positive	Positive	unknown_state	Positive	Positive
unknown_state	not-malayalam	not-malayalam	not-malayalam	Positive	not-malayalam
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	unknown_state	unknown_state	Positive
Negative	Negative	Negative	Positive	unknown_state	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	unknown_state	unknown_state	unknown_state	Positive	unknown_state
not-malayalam	not-malayalam	not-malayalam	Positive	not-malayalam	not-malayalam
unknown_state	Positive	Positive	Positive	Negative	Positive
Positive	Negative	Positive	Positive	Negative	Negative
not-malayalam	not-malayalam	Positive	not-malayalam	unknown_state	not-malayalam
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Negative	Mixed_feelings	Positive
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
not-malayalam	Positive	not-malayalam	not-malayalam	unknown_state	not-malayalam
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
not-malayalam	not-malayalam	Positive	unknown_state	unknown_state	unknown_state
Negative	Positive	Negative	Positive	Positive	Positive
unknown_state	Positive	Positive	Positive	Mixed_feelings	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	Mixed_feelings	Negative	Negative	Negative	Negative
Positive	unknown_state	Negative	Positive	Negative	Negative
not-malayalam	Positive	Positive	Positive	Positive	Positive
Positive	Positive	unknown_state	unknown_state	Positive	Positive
unknown_state	not-malayalam	unknown_state	unknown_state	Positive	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Positive	Negative	Negative
not-malayalam	unknown_state	Positive	unknown_state	Positive	Positive
unknown_state	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	unknown_state	Positive	Positive
Negative	Negative	unknown_state	Positive	Positive	Positive
Positive	Positive	Positive	unknown_state	Positive	Positive
not-malayalam	Positive	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	not-malayalam	not-malayalam	Positive	Positive
unknown_state	unknown_state	unknown_state	not-malayalam	Positive	unknown_state
unknown_state	Positive	Positive	unknown_state	unknown_state	Positive
Mixed_feelings	Positive	Positive	Positive	Positive	Positive
not-malayalam	Positive	unknown_state	Positive	unknown_state	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	unknown_state	Positive	unknown_state	Positive
unknown_state	unknown_state	unknown_state	Positive	Mixed_feelings	unknown_state
Mixed_feelings	Mixed_feelings	Positive	Positive	Mixed_feelings	Positive
Positive	Positive	Positive	Positive	unknown_state	Positive
Negative	Positive	Positive	Positive	Positive	Positive
unknown_state	not-malayalam	not-malayalam	not-malayalam	unknown_state	not-malayalam
unknown_state	Positive	unknown_state	Positive	unknown_state	Positive
Negative	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
not-malayalam	Positive	Positive	Positive	Positive	Positive
Positive	Negative	unknown_state	unknown_state	Mixed_feelings	unknown_state
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Negative	Negative	Negative	unknown_state	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	unknown_state	Negative	Mixed_feelings	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Mixed_feelings	unknown_state	Negative	Positive	Mixed_feelings	Negative
Positive	unknown_state	Positive	unknown_state	Positive	Positive
unknown_state	Positive	Positive	unknown_state	unknown_state	Positive
not-malayalam	not-malayalam	unknown_state	not-malayalam	not-malayalam	not-malayalam
unknown_state	Positive	unknown_state	unknown_state	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	unknown_state	Positive	unknown_state	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Negative	Positive	Positive	Positive	Positive	Positive
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Negative	Positive	Positive	Positive	Positive	Positive
unknown_state	Positive	Positive	Positive	unknown_state	Positive
unknown_state	unknown_state	unknown_state	Positive	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	Positive	unknown_state
not-malayalam	Positive	not-malayalam	not-malayalam	not-malayalam	not-malayalam
Mixed_feelings	Positive	unknown_state	Positive	Negative	Positive
Negative	unknown_state	Positive	Positive	Mixed_feelings	Positive
unknown_state	Positive	Positive	unknown_state	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
not-malayalam	Positive	unknown_state	unknown_state	not-malayalam	unknown_state
Negative	Positive	Positive	Negative	Negative	Negative
unknown_state	Positive	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
not-malayalam	Negative	unknown_state	unknown_state	unknown_state	unknown_state
unknown_state	unknown_state	Positive	unknown_state	not-malayalam	unknown_state
unknown_state	Positive	Positive	Positive	unknown_state	Positive
Positive	unknown_state	not-malayalam	unknown_state	Positive	unknown_state
unknown_state	unknown_state	Positive	unknown_state	unknown_state	unknown_state
Positive	Positive	Negative	Positive	Positive	Positive
unknown_state	unknown_state	unknown_state	unknown_state	unknown_state	unknown_state
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
