y	cat_boost_neg_bert	forest_neg_bert	log_neg_bert	neigh_neg_bert	neg_majority_label_bert
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
not-Kannada	Positive	Positive	not-Kannada	Mixed feelings	Positive
not-Kannada	Positive	Positive	not-Kannada	not-Kannada	Positive
Negative	unknown state	Positive	Positive	Negative	Positive
not-Kannada	unknown state	Positive	not-Kannada	not-Kannada	not-Kannada
Positive	Negative	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Negative	Negative	Negative	Negative
Mixed feelings	Negative	Positive	Negative	Positive	Negative
Positive	Negative	Negative	Negative	Negative	Negative
not-Kannada	unknown state	unknown state	unknown state	unknown state	unknown state
unknown state	unknown state	unknown state	unknown state	unknown state	unknown state
Positive	Negative	Negative	Positive	Positive	Negative
unknown state	unknown state	Positive	unknown state	unknown state	unknown state
not-Kannada	not-Kannada	Negative	Positive	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Negative	Positive	Negative
not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	Negative	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Negative	Positive	Negative	Positive	Negative
Positive	not-Kannada	Positive	Positive	not-Kannada	Positive
unknown state	Positive	Positive	Positive	Negative	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Mixed feelings	Positive	not-Kannada	not-Kannada	unknown state	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Positive	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Negative	Positive	Negative
Mixed feelings	Negative	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
unknown state	unknown state	unknown state	unknown state	unknown state	unknown state
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
unknown state	unknown state	Positive	Positive	Positive	Positive
Positive	Positive	not-Kannada	Positive	Positive	Positive
not-Kannada	unknown state	Positive	not-Kannada	Mixed feelings	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
unknown state	Positive	Negative	Negative	Positive	Negative
Negative	unknown state	Mixed feelings	not-Kannada	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Negative	Positive	Negative	Positive	Negative
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Negative	Negative	Negative	Negative
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	not-Kannada	Positive	Positive	Positive
not-Kannada	Positive	Positive	Positive	not-Kannada	Positive
Mixed feelings	Negative	not-Kannada	Negative	Positive	Negative
Negative	Mixed feelings	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Negative	Negative	Negative
Negative	Negative	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	unknown state	Positive	Positive	not-Kannada	Positive
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Negative	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	unknown state	Mixed feelings	unknown state	unknown state	unknown state
Mixed feelings	unknown state	Positive	unknown state	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	not-Kannada	unknown state	unknown state	unknown state	unknown state
unknown state	unknown state	unknown state	unknown state	unknown state	unknown state
unknown state	not-Kannada	unknown state	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	Positive	not-Kannada	not-Kannada	Positive
unknown state	Positive	Positive	unknown state	Mixed feelings	Positive
Negative	Mixed feelings	Negative	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Mixed feelings	Positive	Positive	Positive
Negative	Mixed feelings	Negative	Negative	Negative	Negative
Positive	Negative	Negative	Negative	Positive	Negative
Mixed feelings	Negative	Positive	Negative	Negative	Negative
Positive	Negative	Negative	Positive	Negative	Negative
Negative	Positive	Positive	Negative	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Positive	Negative	Negative
Positive	Negative	Negative	Negative	Negative	Negative
Positive	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Negative	Positive	Positive	Positive
unknown state	unknown state	Negative	unknown state	unknown state	unknown state
Positive	Positive	Positive	Positive	Negative	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	unknown state	Positive	Positive
Negative	unknown state	Negative	Negative	Negative	Negative
Positive	Negative	Negative	Positive	Positive	Negative
not-Kannada	unknown state	Positive	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Positive	Negative	Negative
Positive	unknown state	Positive	Positive	unknown state	Positive
Positive	unknown state	Positive	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Positive	Positive	Negative	Positive
Positive	Positive	Positive	Positive	Negative	Positive
unknown state	Positive	Mixed feelings	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Negative	Negative
Mixed feelings	not-Kannada	Positive	Positive	Positive	Positive
not-Kannada	Negative	Positive	not-Kannada	Positive	Positive
unknown state	Mixed feelings	Negative	Negative	Negative	Negative
Positive	not-Kannada	Positive	Positive	Positive	Positive
Negative	unknown state	Positive	Positive	Negative	Positive
Positive	Positive	Negative	Positive	Negative	Negative
Mixed feelings	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Negative	Negative	Negative	Positive	Negative
Negative	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Positive	Negative	Positive	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Negative	Negative	Negative
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	not-Kannada	Positive	not-Kannada	Positive	Positive
unknown state	Positive	unknown state	not-Kannada	unknown state	unknown state
unknown state	not-Kannada	Positive	Negative	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Negative	Negative	Negative
not-Kannada	Positive	Positive	Positive	Negative	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Negative	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	Positive	Positive	not-Kannada	Positive
Positive	Positive	not-Kannada	Positive	not-Kannada	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Negative	Negative
Positive	Positive	Negative	Positive	Positive	Positive
Negative	Positive	Positive	Negative	Negative	Negative
Negative	Positive	Negative	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Mixed feelings	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Negative	Negative	Negative
Positive	Positive	Negative	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Mixed feelings	Positive	Positive	Positive
Positive	Positive	Positive	Negative	Negative	Negative
Negative	Positive	Negative	Positive	Negative	Negative
Positive	not-Kannada	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	Positive	not-Kannada	Positive	Negative	Positive
Negative	Negative	Mixed feelings	Negative	Negative	Negative
Positive	Negative	Positive	Negative	Negative	Negative
Negative	Negative	Negative	Positive	Negative	Negative
Negative	not-Kannada	Positive	not-Kannada	Positive	Positive
not-Kannada	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Positive	Negative	Positive	Negative
Positive	Positive	Negative	Negative	Positive	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Positive	Positive	Negative	Negative	Negative
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	unknown state	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	unknown state	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Negative	Negative
Negative	Negative	Mixed feelings	Negative	Negative	Negative
not-Kannada	Positive	Negative	Positive	not-Kannada	Positive
not-Kannada	unknown state	Negative	unknown state	unknown state	unknown state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	unknown state	Positive	not-Kannada	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Positive	Positive	Negative
Positive	Positive	Negative	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Negative	Positive	Positive	Positive
unknown state	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
not-Kannada	Positive	not-Kannada	Positive	Positive	Positive
unknown state	Negative	Negative	Positive	Positive	Negative
Negative	Positive	Negative	Negative	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Negative	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Positive	Negative
not-Kannada	unknown state	unknown state	unknown state	not-Kannada	unknown state
Positive	Positive	Positive	Positive	unknown state	Positive
Negative	Positive	Negative	Negative	Negative	Negative
Positive	unknown state	Negative	Negative	unknown state	Negative
unknown state	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Negative	Positive	Positive
Negative	Mixed feelings	Negative	Negative	Positive	Negative
Positive	Negative	Negative	Negative	Positive	Negative
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	unknown state	unknown state	not-Kannada	not-Kannada	not-Kannada
Positive	Negative	Negative	Positive	Positive	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
unknown state	Negative	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Positive	Negative
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	unknown state	not-Kannada	unknown state	Positive	unknown state
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Positive	unknown state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	unknown state	unknown state	not-Kannada	unknown state	unknown state
Positive	Positive	Negative	Negative	Negative	Negative
Negative	Negative	Positive	Positive	Positive	Positive
Positive	Positive	Positive	not-Kannada	not-Kannada	Positive
Negative	unknown state	Negative	Mixed feelings	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Positive	Negative	Negative
Positive	Positive	Negative	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Negative	unknown state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
unknown state	Positive	Negative	Positive	Positive	Positive
Positive	Negative	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Positive	Negative
Negative	Negative	Negative	Negative	Negative	Negative
Negative	unknown state	unknown state	unknown state	unknown state	unknown state
not-Kannada	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Negative	Positive	unknown state	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	Positive	Positive	Positive
Positive	not-Kannada	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
unknown state	Negative	Negative	Positive	Positive	Negative
Mixed feelings	Negative	Mixed feelings	Negative	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Mixed feelings	Positive	Positive	Positive	Positive
not-Kannada	unknown state	Positive	not-Kannada	not-Kannada	not-Kannada
Negative	Mixed feelings	Negative	Negative	Positive	Negative
Positive	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	not-Kannada	Positive	Positive
Mixed feelings	Negative	Positive	Positive	Negative	Negative
Positive	Positive	Positive	Positive	not-Kannada	Positive
Positive	unknown state	not-Kannada	Positive	not-Kannada	not-Kannada
Negative	Negative	Positive	Negative	Positive	Negative
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	unknown state	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	Mixed feelings	Positive	unknown state	Positive
unknown state	Negative	not-Kannada	not-Kannada	Negative	Negative
not-Kannada	Positive	Positive	not-Kannada	not-Kannada	Positive
not-Kannada	Mixed feelings	unknown state	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Negative	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	not-Kannada	unknown state	not-Kannada	not-Kannada	not-Kannada
Mixed feelings	Negative	Negative	Negative	Negative	Negative
not-Kannada	not-Kannada	Positive	not-Kannada	Positive	Positive
Mixed feelings	Mixed feelings	Mixed feelings	Mixed feelings	Mixed feelings	Mixed feelings
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	unknown state	not-Kannada	unknown state	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Positive	not-Kannada	Positive	Negative	Positive
unknown state	Positive	unknown state	Positive	Positive	Positive
Positive	Negative	Positive	Positive	Positive	Positive
unknown state	Negative	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Negative	Positive
Positive	unknown state	not-Kannada	Mixed feelings	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Positive	unknown state	Negative	Negative
not-Kannada	not-Kannada	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Mixed feelings	Positive	Positive	Positive	Positive
Positive	Positive	Mixed feelings	Positive	Positive	Positive
Positive	unknown state	not-Kannada	not-Kannada	not-Kannada	not-Kannada
unknown state	unknown state	Positive	unknown state	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
Negative	Positive	Positive	unknown state	unknown state	Positive
not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Mixed feelings	Positive	Negative	Positive	Negative	Negative
Mixed feelings	Positive	Positive	Negative	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Negative	Positive	Negative	Negative	Negative
Negative	Negative	Mixed feelings	Negative	Negative	Negative
not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
unknown state	not-Kannada	Positive	not-Kannada	Mixed feelings	not-Kannada
not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Negative	Negative	Positive	Negative
Positive	Negative	Negative	Negative	Negative	Negative
Negative	Positive	Negative	Positive	Negative	Negative
Positive	Negative	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
unknown state	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Negative	not-Kannada	Positive
Positive	Mixed feelings	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Positive	Negative	Negative
unknown state	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Positive	Negative
Positive	Positive	Negative	Negative	Positive	Negative
unknown state	Negative	Negative	Negative	unknown state	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
not-Kannada	Positive	not-Kannada	Positive	not-Kannada	Positive
Mixed feelings	Positive	Negative	Positive	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
not-Kannada	Positive	not-Kannada	Positive	not-Kannada	Positive
Negative	Negative	Positive	Positive	Positive	Positive
unknown state	Positive	Negative	not-Kannada	unknown state	Negative
Positive	unknown state	Negative	Positive	Positive	Positive
Positive	Positive	Negative	not-Kannada	Positive	Positive
unknown state	not-Kannada	Positive	Positive	Positive	Positive
Positive	unknown state	Positive	not-Kannada	Positive	Positive
Positive	Positive	Negative	Positive	Positive	Positive
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Positive	unknown state	Positive	Negative	Positive
Negative	Positive	Positive	Positive	not-Kannada	Positive
Positive	Positive	Positive	Negative	Positive	Positive
Positive	Negative	Negative	Negative	Mixed feelings	Negative
Negative	Negative	Positive	Negative	Negative	Negative
Positive	Positive	not-Kannada	Positive	not-Kannada	Positive
Negative	Negative	Negative	Positive	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	Negative	Positive	Positive
Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Positive	Positive	Positive	not-Kannada	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Negative	Positive
Positive	unknown state	Positive	Positive	Positive	Positive
not-Kannada	Mixed feelings	Mixed feelings	not-Kannada	Mixed feelings	Mixed feelings
Positive	Positive	Negative	Positive	Positive	Positive
Negative	Positive	Positive	Positive	Negative	Positive
unknown state	Negative	unknown state	Positive	Positive	Positive
Negative	unknown state	Positive	not-Kannada	Positive	Positive
Positive	Negative	Negative	Negative	Positive	Negative
Positive	Negative	Negative	Negative	Negative	Negative
unknown state	unknown state	Positive	unknown state	unknown state	unknown state
not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Negative	Negative	Negative	Negative
Negative	Negative	Negative	Negative	Positive	Negative
not-Kannada	Positive	Positive	not-Kannada	not-Kannada	Positive
Negative	Negative	Positive	Positive	Positive	Positive
unknown state	Positive	Positive	unknown state	unknown state	Positive
Positive	unknown state	Positive	Positive	Positive	Positive
Mixed feelings	unknown state	unknown state	Positive	Mixed feelings	unknown state
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Negative	Positive	Negative	Negative	Negative
Positive	Negative	Negative	Positive	Negative	Negative
Positive	Positive	Negative	Positive	Positive	Positive
Positive	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Positive	Positive	Positive	Positive	not-Kannada	Positive
not-Kannada	Negative	Positive	Negative	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
unknown state	unknown state	Negative	unknown state	unknown state	unknown state
Positive	Positive	not-Kannada	Positive	Positive	Positive
Mixed feelings	Negative	Negative	Negative	Negative	Negative
Positive	Positive	Negative	Negative	Negative	Negative
Positive	Positive	Negative	Positive	Negative	Negative
unknown state	Positive	Negative	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	unknown state	Positive	not-Kannada
Positive	Negative	Negative	Positive	Positive	Negative
Positive	Negative	Positive	Positive	Negative	Negative
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Negative	Negative	Negative	Negative
not-Kannada	unknown state	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Negative	Negative	Positive	Negative	Negative	Negative
not-Kannada	not-Kannada	Positive	unknown state	not-Kannada	not-Kannada
Positive	Positive	Positive	Positive	Positive	Positive
Negative	Negative	Positive	Negative	Negative	Negative
not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada	not-Kannada
Positive	Positive	Mixed feelings	Positive	Positive	Positive
Mixed feelings	Positive	Positive	Positive	Positive	Positive
Mixed feelings	Negative	Negative	Negative	Negative	Negative
Positive	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Mixed feelings	Positive	Mixed feelings	Positive	Positive	Positive
Positive	Positive	Positive	Positive	Positive	Positive
