id	cat_boost_original_bert	forest_original_bert	log_original_bert	neigh_original_bert	original_majority_label_bert
Mal_57	Positive	Positive	Positive	Positive	Positive
Mal_58	Positive	Negative	Positive	Positive	Positive
Mal_59	Positive	Positive	Positive	Positive	Positive
Mal_60	Positive	Positive	Positive	Positive	Positive
Mal_61	Positive	Positive	Positive	Positive	Positive
Mal_62	Positive	Positive	Positive	Positive	Positive
Mal_63	Positive	Positive	Positive	Positive	Positive
Mal_64	Positive	Positive	Positive	Positive	Positive
Mal_65	Positive	Positive	Positive	Positive	Positive
Mal_66	Positive	Positive	Positive	Positive	Positive
Mal_67	Positive	Positive	Positive	Positive	Positive
Mal_68	Positive	Positive	Negative	Positive	Positive
Mal_69	Positive	Positive	Positive	Positive	Positive
Mal_70	Positive	Positive	Positive	Positive	Positive
Mal_71	Positive	Positive	Positive	Positive	Positive
Mal_72	Positive	Positive	Positive	Positive	Positive
Mal_73	Positive	Positive	Positive	Positive	Positive
Mal_74	Positive	Positive	Positive	Positive	Positive
Mal_75	Positive	Positive	Positive	Positive	Positive
Mal_76	Positive	Positive	Positive	Positive	Positive
Mal_77	Positive	Positive	Positive	Positive	Positive
Mal_78	Positive	Positive	Positive	Positive	Positive
Mal_79	Positive	Negative	Positive	Positive	Positive
Mal_80	Positive	Positive	Positive	Positive	Positive
Mal_81	Negative	Positive	Negative	Positive	Negative
Mal_82	Positive	Positive	Positive	Positive	Positive
Mal_83	Positive	Positive	Negative	Positive	Positive
Mal_84	Positive	Positive	Positive	Positive	Positive
Mal_85	Positive	Positive	Positive	Positive	Positive
Mal_86	Positive	Positive	Positive	Positive	Positive
Mal_87	Negative	Positive	Positive	Negative	Negative
Mal_88	Positive	Positive	Positive	Positive	Positive
Mal_89	Positive	Positive	Positive	Positive	Positive
Mal_90	Negative	Mixed feelings	Positive	Positive	Positive
Mal_91	Negative	Negative	Negative	Positive	Negative
Mal_92	Positive	Positive	Positive	Positive	Positive
Mal_93	Positive	Positive	Positive	Positive	Positive
Mal_94	Positive	Positive	Positive	Negative	Positive
Mal_95	Positive	Positive	Positive	Positive	Positive
Mal_96	Positive	Positive	Positive	Positive	Positive
Mal_97	Positive	Positive	Positive	Positive	Positive
Mal_98	Negative	Positive	Positive	Positive	Positive
Mal_99	Positive	Positive	Positive	Positive	Positive
Mal_100	Positive	Positive	Positive	Positive	Positive
Mal_101	Negative	Positive	Positive	Positive	Positive
Mal_102	Positive	Positive	Positive	Positive	Positive
Mal_103	Positive	Positive	Positive	Positive	Positive
Mal_104	Mixed feelings	Positive	Positive	Negative	Positive
Mal_105	Positive	Positive	Positive	Negative	Positive
Mal_106	Negative	Negative	Positive	Positive	Negative
Mal_107	Positive	Negative	Positive	Positive	Positive
Mal_108	Negative	Positive	Positive	Positive	Positive
Mal_109	Mixed feelings	Positive	Positive	Positive	Positive
Mal_110	Negative	Negative	Negative	Negative	Negative
Mal_111	Positive	Positive	Positive	Positive	Positive
Mal_112	Positive	Positive	Positive	Positive	Positive
Mal_113	Positive	Positive	Positive	Positive	Positive
Mal_114	Positive	Positive	Positive	Positive	Positive
Mal_115	Mixed feelings	Positive	Negative	Positive	Positive
Mal_116	Positive	Positive	Positive	Positive	Positive
Mal_117	Positive	Positive	Positive	Positive	Positive
Mal_118	Positive	Mixed feelings	Negative	Positive	Positive
Mal_119	Positive	Positive	Negative	Positive	Positive
Mal_120	Negative	Negative	Positive	Positive	Negative
Mal_121	Positive	Positive	Positive	Positive	Positive
Mal_122	Positive	Positive	Positive	Positive	Positive
Mal_123	Positive	Positive	Positive	Positive	Positive
Mal_124	Positive	Positive	Positive	Positive	Positive
Mal_125	Positive	Positive	Positive	Positive	Positive
Mal_126	unknown state	Positive	unknown state	Positive	Positive
Mal_127	Positive	Positive	Positive	Positive	Positive
Mal_128	Positive	not-Kannada	Negative	Negative	Negative
Mal_129	Positive	Mixed feelings	Positive	Positive	Positive
Mal_130	unknown state	Positive	Positive	Positive	Positive
Mal_131	Positive	Positive	Positive	Positive	Positive
Mal_132	Positive	Positive	Positive	Positive	Positive
Mal_133	Positive	Positive	Positive	Positive	Positive
Mal_134	Positive	Positive	Positive	Positive	Positive
Mal_135	Positive	Positive	Positive	Positive	Positive
Mal_136	Negative	Positive	Positive	Positive	Positive
Mal_137	Positive	Positive	Positive	Positive	Positive
Mal_138	Positive	Positive	Positive	Positive	Positive
Mal_139	Positive	Positive	Positive	Positive	Positive
Mal_140	Positive	Positive	Positive	Positive	Positive
Mal_141	Negative	Negative	Positive	Negative	Negative
Mal_142	Positive	Positive	Positive	Positive	Positive
Mal_143	Positive	Positive	Positive	Positive	Positive
Mal_144	Positive	Positive	Positive	Positive	Positive
Mal_145	Positive	Positive	Positive	Negative	Positive
Mal_146	Positive	Positive	Positive	Negative	Positive
Mal_147	Positive	Positive	Positive	Negative	Positive
Mal_148	Negative	Positive	Positive	Positive	Positive
Mal_149	Positive	Positive	Positive	Positive	Positive
Mal_150	unknown state	Positive	Positive	Positive	Positive
Mal_151	Negative	Positive	Positive	Positive	Positive
Mal_152	Mixed feelings	Positive	Positive	Positive	Positive
Mal_153	Negative	Positive	Positive	Positive	Positive
Mal_154	Positive	Positive	Positive	Positive	Positive
Mal_155	Negative	Positive	Positive	Positive	Positive
Mal_156	Positive	Positive	Positive	Positive	Positive
Mal_157	Negative	Positive	Positive	Positive	Positive
Mal_158	Negative	Positive	Positive	Positive	Positive
Mal_159	Negative	Positive	Positive	Positive	Positive
Mal_160	Negative	Positive	Positive	Positive	Positive
Mal_161	Positive	Positive	Positive	Positive	Positive
Mal_162	Positive	Positive	Positive	Positive	Positive
Mal_163	Positive	Positive	Positive	Positive	Positive
Mal_164	Positive	Positive	Positive	Positive	Positive
Mal_165	Positive	Positive	Positive	Positive	Positive
Mal_166	Positive	Positive	Positive	Positive	Positive
Mal_167	Positive	Positive	Positive	Positive	Positive
Mal_168	Positive	Positive	Positive	Positive	Positive
Mal_169	Positive	Positive	Positive	Positive	Positive
Mal_170	Mixed feelings	Positive	Positive	Positive	Positive
Mal_171	Positive	Positive	Positive	Positive	Positive
Mal_172	Positive	Positive	Positive	Positive	Positive
Mal_173	Positive	Positive	Positive	Positive	Positive
Mal_174	Positive	Positive	Positive	Positive	Positive
Mal_175	Positive	Positive	Positive	Positive	Positive
Mal_176	Positive	Positive	Positive	Positive	Positive
Mal_177	Positive	Negative	Negative	Positive	Negative
Mal_178	Positive	Positive	Positive	Positive	Positive
Mal_179	Negative	Positive	Positive	Positive	Positive
Mal_180	Positive	Positive	Positive	Negative	Positive
Mal_181	Positive	Positive	Positive	Positive	Positive
Mal_182	Positive	Positive	Positive	Positive	Positive
Mal_183	Negative	Positive	Negative	Positive	Negative
Mal_184	Positive	Mixed feelings	Positive	Positive	Positive
Mal_185	Negative	Positive	Negative	Negative	Negative
Mal_186	Positive	Positive	Positive	Positive	Positive
Mal_187	Negative	Positive	Positive	Positive	Positive
Mal_188	Positive	Positive	Positive	Positive	Positive
Mal_189	Positive	Positive	Positive	Positive	Positive
Mal_190	Positive	Positive	Positive	Positive	Positive
Mal_191	Positive	Positive	Positive	Positive	Positive
Mal_192	Positive	Positive	Negative	Positive	Positive
Mal_193	Positive	Negative	Positive	Positive	Positive
Mal_194	Positive	Positive	Positive	Positive	Positive
Mal_195	Negative	Negative	Negative	Positive	Negative
Mal_196	Mixed feelings	not-Kannada	Mixed feelings	Positive	Mixed feelings
Mal_197	Negative	Positive	Positive	Positive	Positive
Mal_198	Positive	Positive	Positive	Positive	Positive
Mal_199	Positive	Mixed feelings	Positive	Positive	Positive
Mal_200	Positive	Positive	Positive	Positive	Positive
Mal_201	Negative	Positive	Negative	Negative	Negative
Mal_202	Positive	Positive	Positive	Positive	Positive
Mal_203	Positive	Positive	Positive	Positive	Positive
Mal_204	Positive	Positive	Positive	Positive	Positive
Mal_205	Positive	Positive	Negative	Positive	Positive
Mal_206	Negative	Negative	Positive	Positive	Negative
Mal_207	Positive	Positive	Positive	Positive	Positive
Mal_208	Positive	Positive	Positive	Positive	Positive
Mal_209	Positive	Positive	Positive	Positive	Positive
Mal_210	Positive	Positive	Positive	Positive	Positive
Mal_211	Negative	Positive	Positive	Positive	Positive
Mal_212	Positive	Positive	Positive	Positive	Positive
Mal_213	Positive	Positive	Positive	Positive	Positive
Mal_214	Positive	Negative	Positive	Positive	Positive
Mal_215	Positive	Positive	Positive	Positive	Positive
Mal_216	Positive	Positive	Positive	Positive	Positive
Mal_217	Positive	Positive	Positive	Positive	Positive
Mal_218	Positive	Positive	Positive	Positive	Positive
Mal_219	Positive	Positive	Positive	Negative	Positive
Mal_220	Positive	Negative	Positive	Positive	Positive
Mal_221	Negative	Positive	Positive	Positive	Positive
Mal_222	Positive	Positive	Positive	Positive	Positive
Mal_223	Negative	Negative	Positive	Negative	Negative
Mal_224	Positive	Positive	Positive	Positive	Positive
Mal_225	Positive	Positive	Positive	Positive	Positive
Mal_226	Positive	Positive	Positive	Positive	Positive
Mal_227	Positive	Positive	Positive	Positive	Positive
Mal_228	Positive	Positive	Positive	Positive	Positive
Mal_229	Positive	Positive	Negative	Positive	Positive
Mal_230	Positive	Positive	Positive	Positive	Positive
Mal_231	Positive	Positive	Positive	Negative	Positive
Mal_232	Positive	Negative	Negative	Positive	Negative
Mal_233	Positive	Positive	Positive	Positive	Positive
Mal_234	Positive	Positive	Positive	Positive	Positive
Mal_235	Positive	Positive	Positive	Positive	Positive
Mal_236	Negative	Positive	Positive	Positive	Positive
Mal_237	Negative	Positive	Positive	Negative	Negative
Mal_238	Positive	Positive	Positive	Positive	Positive
Mal_239	Negative	Positive	Positive	Positive	Positive
Mal_240	Positive	Positive	Positive	Positive	Positive
Mal_241	Negative	Negative	Negative	Positive	Negative
Mal_242	Negative	Negative	Negative	Positive	Negative
Mal_243	Positive	Positive	Positive	Positive	Positive
Mal_244	unknown state	Positive	Positive	Positive	Positive
Mal_245	Positive	Positive	Positive	Positive	Positive
Mal_246	Positive	Positive	Positive	Positive	Positive
Mal_247	Positive	Positive	Positive	Positive	Positive
Mal_248	Positive	Negative	Negative	Negative	Negative
Mal_249	Positive	Positive	Positive	Positive	Positive
Mal_250	Positive	Positive	Positive	Positive	Positive
Mal_251	Negative	Positive	Negative	Positive	Negative
Mal_252	Positive	Positive	Positive	Positive	Positive
Mal_253	Positive	Positive	Positive	Positive	Positive
Mal_254	Positive	Positive	Positive	Positive	Positive
Mal_255	Positive	Positive	Positive	Positive	Positive
Mal_256	Positive	Positive	Positive	Positive	Positive
Mal_257	Positive	Positive	Positive	Positive	Positive
Mal_258	Positive	Positive	Positive	Positive	Positive
Mal_259	Positive	Positive	Positive	Positive	Positive
Mal_260	Positive	Positive	Positive	Positive	Positive
Mal_261	Positive	Positive	Positive	Positive	Positive
Mal_262	Positive	Positive	Positive	Positive	Positive
Mal_263	Positive	Positive	Positive	Positive	Positive
Mal_264	Positive	Positive	Negative	Positive	Positive
Mal_265	Positive	Positive	Positive	Positive	Positive
Mal_266	Negative	Positive	Positive	Positive	Positive
Mal_267	Positive	Positive	unknown state	Positive	Positive
Mal_268	Positive	Positive	Positive	Positive	Positive
Mal_269	Positive	Positive	Positive	Positive	Positive
Mal_270	Positive	Positive	Positive	Positive	Positive
Mal_271	Positive	Positive	Positive	Positive	Positive
Mal_272	Positive	Positive	Positive	Negative	Positive
Mal_273	Positive	Positive	Positive	Positive	Positive
Mal_274	Positive	Positive	Positive	Positive	Positive
Mal_275	Positive	Positive	Positive	Positive	Positive
Mal_276	Positive	Positive	Positive	Positive	Positive
Mal_277	Positive	Positive	Positive	Positive	Positive
Mal_278	Negative	Positive	Positive	Positive	Positive
Mal_279	Positive	Positive	Positive	Positive	Positive
Mal_280	Positive	Negative	not-Kannada	Positive	Positive
Mal_281	Positive	Positive	Positive	Positive	Positive
Mal_282	Positive	Positive	Positive	Positive	Positive
Mal_283	Positive	Negative	Positive	Positive	Positive
Mal_284	Positive	Positive	Positive	Positive	Positive
Mal_285	Positive	Positive	Positive	Positive	Positive
Mal_286	Positive	Positive	Positive	Positive	Positive
Mal_287	Positive	Positive	Positive	Positive	Positive
Mal_288	Positive	Positive	Positive	Positive	Positive
Mal_289	Positive	Positive	Positive	Positive	Positive
Mal_290	Negative	Negative	Positive	Positive	Negative
Mal_291	Positive	Positive	Positive	Positive	Positive
Mal_292	Positive	Positive	Positive	Positive	Positive
Mal_293	Positive	Positive	Positive	Positive	Positive
Mal_294	Positive	Positive	Positive	Positive	Positive
Mal_295	Positive	Positive	Positive	Positive	Positive
Mal_296	Positive	Positive	Positive	Negative	Positive
Mal_297	Positive	Positive	Positive	Negative	Positive
Mal_298	Negative	Positive	Positive	Positive	Positive
Mal_299	Positive	Positive	Positive	Positive	Positive
Mal_300	Positive	Positive	Positive	Positive	Positive
Mal_301	Positive	Positive	Positive	Positive	Positive
Mal_302	Positive	Positive	Positive	Positive	Positive
Mal_303	Positive	Positive	Positive	Positive	Positive
Mal_304	Positive	Positive	Positive	Positive	Positive
Mal_305	Positive	Positive	Positive	Positive	Positive
Mal_306	Positive	Positive	Positive	Positive	Positive
Mal_307	Positive	Positive	Positive	Positive	Positive
Mal_308	Positive	Positive	Positive	Positive	Positive
Mal_309	Positive	Positive	Positive	Negative	Positive
Mal_310	Positive	Positive	Positive	Positive	Positive
Mal_311	Positive	Positive	Negative	Positive	Positive
Mal_312	Positive	Positive	Positive	Positive	Positive
Mal_313	Positive	Positive	Positive	Positive	Positive
Mal_314	Positive	Positive	Positive	Positive	Positive
Mal_315	Negative	Positive	Positive	Positive	Positive
Mal_316	Positive	Positive	Positive	Positive	Positive
Mal_317	Positive	Positive	Positive	Positive	Positive
Mal_318	Positive	Positive	Positive	Positive	Positive
Mal_319	Positive	Positive	Positive	Positive	Positive
Mal_320	Positive	Positive	Positive	Positive	Positive
Mal_321	Positive	Positive	Positive	Positive	Positive
Mal_322	Positive	Positive	Positive	Positive	Positive
Mal_323	Positive	Positive	Positive	Positive	Positive
Mal_324	Positive	Positive	Positive	Positive	Positive
Mal_325	Positive	Positive	Positive	Positive	Positive
Mal_326	Negative	Positive	Positive	Positive	Positive
Mal_327	Positive	Positive	Positive	Positive	Positive
Mal_328	Positive	Positive	Positive	Positive	Positive
Mal_329	Positive	Positive	Positive	Positive	Positive
Mal_330	Positive	Positive	Positive	Positive	Positive
Mal_331	Positive	Positive	Negative	Positive	Positive
Mal_332	Positive	Positive	Positive	Positive	Positive
Mal_333	Positive	Positive	Positive	Positive	Positive
Mal_334	Mixed feelings	Positive	Positive	Positive	Positive
Mal_335	Negative	Positive	Positive	Negative	Negative
Mal_336	Positive	Positive	Positive	Positive	Positive
Mal_337	Positive	Positive	Positive	Positive	Positive
Mal_338	Positive	Positive	Positive	Positive	Positive
Mal_339	Positive	Positive	Positive	Positive	Positive
Mal_340	Negative	Negative	Negative	Negative	Negative
Mal_341	Positive	Positive	Positive	Positive	Positive
Mal_342	Negative	Positive	Negative	Positive	Negative
Mal_343	Positive	Positive	Positive	Positive	Positive
Mal_344	Positive	Positive	Positive	Positive	Positive
Mal_345	unknown state	Positive	Positive	Negative	Positive
Mal_346	Positive	Positive	Positive	Positive	Positive
Mal_347	Positive	Positive	Positive	Positive	Positive
Mal_348	Negative	Positive	Negative	Negative	Negative
Mal_349	Positive	Positive	Positive	Positive	Positive
Mal_350	Negative	Negative	Positive	Positive	Negative
Mal_351	Positive	Positive	Positive	Positive	Positive
Mal_352	Negative	Positive	Positive	Positive	Positive
Mal_353	Positive	Negative	Negative	Negative	Negative
Mal_354	Mixed feelings	Mixed feelings	Positive	Positive	Positive
Mal_355	Positive	Positive	Positive	Positive	Positive
Mal_356	Negative	Positive	Negative	Positive	Negative
Mal_357	Positive	Negative	Positive	Positive	Positive
Mal_358	Positive	Positive	Positive	Positive	Positive
Mal_359	Negative	Negative	Positive	Positive	Negative
Mal_360	Positive	Positive	Positive	Positive	Positive
Mal_361	Positive	Negative	Positive	Positive	Positive
Mal_362	Positive	Positive	Positive	Positive	Positive
Mal_363	Negative	Positive	Positive	Negative	Negative
Mal_364	Positive	Positive	Positive	Positive	Positive
Mal_365	Positive	Positive	Positive	Positive	Positive
Mal_366	Positive	Negative	Positive	Positive	Positive
Mal_367	Positive	Negative	Negative	Negative	Negative
Mal_368	Negative	unknown state	Positive	Positive	Positive
Mal_369	Positive	Positive	Positive	Positive	Positive
Mal_370	Positive	Positive	Positive	Positive	Positive
Mal_371	Positive	Positive	Positive	Positive	Positive
Mal_372	Positive	Positive	Positive	Negative	Positive
Mal_373	Positive	Positive	Positive	Positive	Positive
Mal_374	Positive	Positive	Positive	Positive	Positive
Mal_375	Mixed feelings	Positive	Positive	Positive	Positive
Mal_376	Positive	Positive	Positive	Positive	Positive
Mal_377	Positive	Positive	Positive	Positive	Positive
Mal_378	Positive	Positive	Positive	Positive	Positive
Mal_379	Positive	Positive	Positive	Positive	Positive
Mal_380	Positive	Positive	Negative	Positive	Positive
Mal_381	Positive	Positive	Positive	Positive	Positive
Mal_382	Positive	Positive	Positive	Negative	Positive
Mal_383	Positive	Positive	Positive	Positive	Positive
Mal_384	Positive	Positive	Positive	Positive	Positive
Mal_385	Positive	Positive	Positive	Positive	Positive
Mal_386	Negative	Positive	Positive	Positive	Positive
Mal_387	Negative	Positive	Negative	Positive	Negative
Mal_388	Positive	Positive	Positive	Positive	Positive
Mal_389	Positive	Positive	Positive	Positive	Positive
Mal_390	Negative	Positive	Negative	Positive	Negative
Mal_391	Positive	Positive	Positive	Negative	Positive
Mal_392	Mixed feelings	Positive	Negative	Negative	Negative
Mal_393	Positive	Negative	Negative	Positive	Negative
Mal_394	Positive	Positive	Positive	Positive	Positive
Mal_395	Positive	Mixed feelings	Positive	Positive	Positive
Mal_396	Positive	Positive	Positive	Positive	Positive
Mal_397	Positive	Positive	Positive	Positive	Positive
Mal_398	Positive	Positive	Positive	Positive	Positive
Mal_399	Positive	Positive	Positive	Positive	Positive
Mal_400	Positive	Positive	Positive	Positive	Positive
Mal_401	Positive	Positive	Positive	Positive	Positive
Mal_402	Positive	Positive	Positive	Positive	Positive
Mal_403	Positive	Positive	Positive	Positive	Positive
Mal_404	Positive	Positive	Positive	Positive	Positive
Mal_405	Positive	Positive	Positive	Positive	Positive
Mal_406	unknown state	Positive	Positive	Positive	Positive
Mal_407	Positive	Negative	Positive	Positive	Positive
Mal_408	Positive	Positive	Positive	Positive	Positive
Mal_409	Positive	Positive	Positive	Positive	Positive
Mal_410	Positive	Negative	Positive	Positive	Positive
Mal_411	Positive	Positive	Positive	Positive	Positive
Mal_412	Positive	Positive	Positive	Positive	Positive
Mal_413	Positive	Positive	Positive	Positive	Positive
Mal_414	Positive	Positive	Positive	Positive	Positive
Mal_415	Positive	Positive	Positive	Positive	Positive
Mal_416	Positive	Positive	Positive	Negative	Positive
Mal_417	Positive	Negative	Mixed feelings	Positive	Positive
Mal_418	Positive	Positive	Positive	Positive	Positive
Mal_419	Positive	Positive	Positive	Positive	Positive
Mal_420	Positive	Negative	Positive	Positive	Positive
Mal_421	Positive	Positive	Positive	Positive	Positive
Mal_422	Positive	Positive	Positive	Positive	Positive
Mal_423	Positive	Positive	Positive	Positive	Positive
Mal_424	Positive	Positive	Positive	Negative	Positive
Mal_425	Positive	Positive	Positive	Positive	Positive
Mal_426	Positive	Positive	Positive	Positive	Positive
Mal_427	Positive	Positive	Positive	Positive	Positive
Mal_428	Positive	Positive	Positive	Positive	Positive
Mal_429	Positive	Positive	Positive	Negative	Positive
Mal_430	Positive	Positive	Positive	Negative	Positive
Mal_431	Positive	Positive	Positive	Positive	Positive
Mal_432	Positive	Positive	Positive	Positive	Positive
Mal_433	Positive	Positive	Positive	Positive	Positive
Mal_434	Positive	Positive	Positive	Positive	Positive
Mal_435	Positive	Positive	Positive	Positive	Positive
Mal_436	Negative	Negative	Positive	Positive	Negative
Mal_437	Positive	Positive	Positive	Positive	Positive
Mal_438	Positive	Positive	Positive	Positive	Positive
Mal_439	Positive	Positive	Positive	Positive	Positive
Mal_440	Positive	Positive	Positive	Positive	Positive
Mal_441	Positive	Positive	Positive	Negative	Positive
Mal_442	Positive	Positive	Positive	Positive	Positive
Mal_443	Positive	Positive	Positive	Positive	Positive
Mal_444	Positive	Positive	Positive	Positive	Positive
Mal_445	Positive	Positive	Positive	Positive	Positive
Mal_446	Positive	Positive	Positive	Positive	Positive
Mal_447	Negative	Positive	Positive	Positive	Positive
Mal_448	Positive	Positive	Positive	Positive	Positive
Mal_449	Positive	Positive	Positive	Positive	Positive
Mal_450	Positive	Positive	Positive	Positive	Positive
Mal_451	Negative	Positive	Positive	Positive	Positive
Mal_452	Positive	Positive	Positive	Negative	Positive
Mal_453	Positive	Positive	Positive	Positive	Positive
Mal_454	Positive	Positive	Positive	Positive	Positive
Mal_455	Positive	Positive	Positive	Positive	Positive
Mal_456	Positive	Positive	Positive	Positive	Positive
Mal_457	Positive	Positive	Positive	Positive	Positive
Mal_458	Positive	Positive	Positive	Positive	Positive
Mal_459	Positive	Positive	Positive	Positive	Positive
Mal_460	Positive	Mixed feelings	Positive	Negative	Positive
Mal_461	Positive	Positive	Positive	Positive	Positive
Mal_462	Positive	Positive	Positive	Positive	Positive
Mal_463	Positive	Positive	Positive	Positive	Positive
Mal_464	Negative	Positive	Positive	Positive	Positive
Mal_465	Positive	Positive	Positive	Positive	Positive
Mal_466	Positive	Positive	Positive	Positive	Positive
Mal_467	Positive	Positive	Positive	Positive	Positive
Mal_468	Positive	Positive	Positive	Positive	Positive
Mal_469	Positive	Positive	Positive	Positive	Positive
Mal_470	unknown state	unknown state	not-Kannada	Positive	unknown state
Mal_471	Negative	Negative	Positive	Positive	Negative
Mal_472	Positive	Positive	Negative	Positive	Positive
Mal_473	Negative	Positive	Positive	Positive	Positive
Mal_474	Positive	Negative	Positive	Positive	Positive
Mal_475	Positive	Positive	Positive	Positive	Positive
Mal_476	Positive	Positive	Positive	Positive	Positive
Mal_477	Negative	Positive	Positive	Negative	Negative
Mal_478	Positive	Positive	Positive	Positive	Positive
Mal_479	Mixed feelings	Mixed feelings	Negative	Negative	Negative
Mal_480	Positive	Positive	Positive	Positive	Positive
Mal_481	Positive	Negative	Negative	Negative	Negative
Mal_482	Negative	Negative	Negative	Positive	Negative
Mal_483	unknown state	Positive	Positive	Positive	Positive
Mal_484	Positive	Positive	Positive	Positive	Positive
Mal_485	Negative	Positive	Negative	Negative	Negative
Mal_486	Positive	Positive	Positive	Positive	Positive
Mal_487	Positive	Positive	Positive	Positive	Positive
Mal_488	Positive	Negative	Positive	Positive	Positive
Mal_489	Positive	Positive	Positive	Positive	Positive
Mal_490	Positive	Positive	Positive	Positive	Positive
Mal_491	Positive	Positive	Positive	Positive	Positive
Mal_492	Positive	Positive	Positive	Positive	Positive
Mal_493	Positive	Positive	Positive	Positive	Positive
Mal_494	Positive	Positive	Positive	Negative	Positive
Mal_495	Positive	Positive	Positive	Positive	Positive
Mal_496	Positive	Positive	Negative	Negative	Negative
Mal_497	Negative	Positive	Negative	Positive	Negative
Mal_498	Mixed feelings	Positive	Positive	Negative	Positive
Mal_499	Positive	Positive	Positive	Positive	Positive
Mal_500	Negative	Negative	Negative	Positive	Negative
Mal_501	Positive	Positive	Positive	Positive	Positive
Mal_502	Negative	Positive	Negative	Positive	Negative
Mal_503	Negative	Positive	Positive	Positive	Positive
Mal_504	Positive	Positive	Positive	Positive	Positive
Mal_505	Negative	Positive	Positive	Positive	Positive
Mal_506	Positive	Positive	Positive	Positive	Positive
Mal_507	Positive	Positive	Positive	Positive	Positive
Mal_508	Positive	unknown state	Positive	Positive	Positive
Mal_509	Positive	Positive	Positive	Positive	Positive
Mal_510	Mixed feelings	Positive	Positive	Positive	Positive
Mal_511	Positive	Positive	Positive	Positive	Positive
Mal_512	Positive	Positive	Positive	Positive	Positive
Mal_513	Positive	Negative	Positive	Positive	Positive
Mal_514	Positive	Negative	Positive	Positive	Positive
Mal_515	Positive	Positive	Positive	Positive	Positive
Mal_516	Positive	Mixed feelings	Negative	Mixed feelings	Mixed feelings
Mal_517	Positive	Positive	Positive	Negative	Positive
Mal_518	Positive	Mixed feelings	Positive	Positive	Positive
Mal_519	Positive	Positive	Positive	Positive	Positive
Mal_520	Positive	Positive	Positive	Positive	Positive
Mal_521	Positive	Positive	Positive	Positive	Positive
Mal_522	Positive	Positive	Positive	Positive	Positive
Mal_523	Negative	Negative	Positive	Positive	Negative
Mal_524	Positive	Negative	Positive	Positive	Positive
Mal_525	Positive	Positive	Positive	Positive	Positive
Mal_526	Positive	Positive	Positive	Positive	Positive
Mal_527	Negative	Positive	Positive	Positive	Positive
Mal_528	Positive	Positive	Positive	Positive	Positive
