id	cat_boost_original_bert	forest_original_bert	log_original_bert	neigh_original_bert	original_majority_label_bert
Kan_249	Negative	Negative	Negative	Negative	Negative
Kan_250	Negative	Positive	Positive	Positive	Positive
Kan_251	Negative	Negative	Negative	Positive	Negative
Kan_252	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_253	Positive	Positive	Positive	Positive	Positive
Kan_254	Mixed feelings	Positive	Positive	Positive	Positive
Kan_255	Positive	Negative	Positive	Negative	Negative
Kan_256	Positive	Positive	Positive	Positive	Positive
Kan_257	Positive	Positive	Positive	Negative	Positive
Kan_258	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_259	Positive	Positive	Negative	Positive	Positive
Kan_260	Positive	Positive	Positive	Positive	Positive
Kan_261	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Kan_262	Positive	Positive	Positive	not-Kannada	Positive
Kan_263	Mixed feelings	not-Kannada	Positive	unknown state	Positive
Kan_264	unknown state	unknown state	not-Kannada	unknown state	unknown state
Kan_265	Positive	Negative	Negative	Positive	Negative
Kan_266	Positive	Positive	Positive	Positive	Positive
Kan_267	Positive	Negative	Negative	Negative	Negative
Kan_268	Positive	Positive	Positive	Positive	Positive
Kan_269	unknown state	not-Kannada	unknown state	not-Kannada	not-Kannada
Kan_270	Positive	Negative	Negative	Negative	Negative
Kan_271	Positive	Negative	Positive	Positive	Positive
Kan_272	Negative	Positive	Positive	Positive	Positive
Kan_273	Positive	Positive	Positive	Positive	Positive
Kan_274	Positive	Positive	Positive	Positive	Positive
Kan_275	Positive	Positive	Positive	Positive	Positive
Kan_276	unknown state	Negative	Positive	Negative	Negative
Kan_277	Mixed feelings	Positive	Negative	Negative	Negative
Kan_278	Mixed feelings	Negative	Negative	Positive	Negative
Kan_279	Positive	Positive	Positive	Positive	Positive
Kan_280	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_281	Positive	not-Kannada	Positive	Positive	Positive
Kan_282	Positive	Positive	Positive	Positive	Positive
Kan_283	Positive	Positive	Positive	Positive	Positive
Kan_284	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_285	Positive	Positive	Positive	Positive	Positive
Kan_286	Negative	Positive	Negative	Positive	Negative
Kan_287	Negative	Negative	Negative	Positive	Negative
Kan_288	Positive	Positive	Positive	Positive	Positive
Kan_289	Positive	Positive	Positive	Positive	Positive
Kan_290	Positive	Positive	Positive	unknown state	Positive
Kan_291	not-Kannada	Positive	not-Kannada	Positive	Positive
Kan_292	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_293	Negative	Negative	Negative	Negative	Negative
Kan_294	not-Kannada	Positive	Positive	not-Kannada	Positive
Kan_295	Negative	Positive	Negative	Negative	Negative
Kan_296	Positive	not-Kannada	Positive	not-Kannada	Positive
Kan_297	Positive	Positive	Positive	Positive	Positive
Kan_298	unknown state	Positive	Positive	Positive	Positive
Kan_299	Mixed feelings	Positive	Negative	Mixed feelings	Mixed feelings
Kan_300	Negative	Negative	Positive	Positive	Negative
Kan_301	Positive	Positive	Positive	Positive	Positive
Kan_302	Negative	Negative	Positive	Positive	Negative
Kan_303	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_304	Negative	Negative	Negative	Negative	Negative
Kan_305	Positive	Positive	unknown state	Positive	Positive
Kan_306	unknown state	Negative	unknown state	unknown state	unknown state
Kan_307	Positive	Positive	Positive	Positive	Positive
Kan_308	Negative	Negative	Negative	Negative	Negative
Kan_309	Negative	Negative	Negative	Negative	Negative
Kan_310	Positive	Negative	Negative	Positive	Negative
Kan_311	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_312	unknown state	Positive	Positive	not-Kannada	Positive
Kan_313	Positive	Positive	Positive	Positive	Positive
Kan_314	Positive	Positive	Positive	Positive	Positive
Kan_315	Positive	not-Kannada	Positive	Positive	Positive
Kan_316	Positive	Positive	Positive	Positive	Positive
Kan_317	Positive	Positive	Positive	Negative	Positive
Kan_318	Positive	Positive	Positive	Positive	Positive
Kan_319	unknown state	Positive	not-Kannada	Positive	Positive
Kan_320	Negative	Negative	Negative	Negative	Negative
Kan_321	Positive	Positive	Positive	Positive	Positive
Kan_322	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_323	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_324	Positive	Positive	Positive	Positive	Positive
Kan_325	Positive	Positive	Positive	Positive	Positive
Kan_326	Negative	Positive	Negative	Positive	Negative
Kan_327	Positive	Positive	Positive	Positive	Positive
Kan_328	Positive	Positive	Positive	Positive	Positive
Kan_329	unknown state	unknown state	not-Kannada	Positive	unknown state
Kan_330	Negative	Positive	Positive	Positive	Positive
Kan_331	Positive	not-Kannada	not-Kannada	Positive	Positive
Kan_332	Positive	Positive	Positive	Positive	Positive
Kan_333	Positive	Positive	Positive	Positive	Positive
Kan_334	not-Kannada	Positive	Positive	Positive	Positive
Kan_335	Negative	unknown state	Negative	Mixed feelings	Negative
Kan_336	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Kan_337	Positive	Positive	Positive	Positive	Positive
Kan_338	Positive	Positive	Positive	Positive	Positive
Kan_339	Positive	Positive	Positive	Positive	Positive
Kan_340	Positive	Positive	Positive	Positive	Positive
Kan_341	Negative	Negative	Negative	Negative	Negative
Kan_342	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_343	not-Kannada	Positive	Positive	not-Kannada	Positive
Kan_344	unknown state	Positive	Positive	Positive	Positive
Kan_345	Negative	Negative	Negative	Negative	Negative
Kan_346	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_347	Positive	Positive	Positive	Positive	Positive
Kan_348	Positive	Positive	Positive	Negative	Positive
Kan_349	Negative	Positive	Negative	Positive	Negative
Kan_350	Positive	Negative	Positive	Positive	Positive
Kan_351	Positive	Mixed feelings	Positive	Positive	Positive
Kan_352	Negative	Mixed feelings	Negative	Positive	Negative
Kan_353	Positive	Positive	Positive	Positive	Positive
Kan_354	Positive	Positive	Positive	Mixed feelings	Positive
Kan_355	Positive	Positive	Positive	Positive	Positive
Kan_356	Positive	Positive	Negative	Positive	Positive
Kan_357	Negative	Negative	Negative	Positive	Negative
Kan_358	unknown state	Positive	Positive	Positive	Positive
Kan_359	Positive	Positive	Positive	Positive	Positive
Kan_360	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_361	Positive	Positive	Positive	not-Kannada	Positive
Kan_362	Positive	Positive	Negative	Positive	Positive
Kan_363	Positive	Positive	Positive	Positive	Positive
Kan_364	Negative	Negative	Negative	Negative	Negative
Kan_365	not-Kannada	Positive	Positive	Positive	Positive
Kan_366	Positive	Positive	Positive	Positive	Positive
Kan_367	Mixed feelings	Positive	Positive	Mixed feelings	Positive
Kan_368	Positive	Positive	unknown state	Mixed feelings	Positive
Kan_369	Positive	Positive	Positive	Positive	Positive
Kan_370	Negative	Negative	Negative	Negative	Negative
Kan_371	Positive	Positive	Positive	Positive	Positive
Kan_372	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_373	Positive	Positive	Negative	Positive	Positive
Kan_374	Negative	Negative	Negative	Negative	Negative
Kan_375	Positive	Positive	Positive	Positive	Positive
Kan_376	not-Kannada	Positive	Positive	Positive	Positive
Kan_377	Positive	Positive	Positive	Positive	Positive
Kan_378	Positive	Negative	Positive	Negative	Negative
Kan_379	Positive	unknown state	Negative	unknown state	unknown state
Kan_380	Positive	Positive	Positive	Positive	Positive
Kan_381	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_382	Positive	Negative	Positive	Mixed feelings	Positive
Kan_383	Negative	Positive	Negative	Positive	Negative
Kan_384	Negative	Negative	Negative	Negative	Negative
Kan_385	Positive	Positive	Positive	Negative	Positive
Kan_386	Negative	Positive	Positive	Positive	Positive
Kan_387	Positive	Positive	Positive	Positive	Positive
Kan_388	Positive	Positive	Positive	Positive	Positive
Kan_389	Positive	Positive	Positive	not-Kannada	Positive
Kan_390	Positive	Positive	Positive	Positive	Positive
Kan_391	Positive	not-Kannada	unknown state	Positive	Positive
Kan_392	Positive	Positive	Positive	Positive	Positive
Kan_393	Positive	not-Kannada	Positive	not-Kannada	Positive
Kan_394	Positive	Positive	Positive	not-Kannada	Positive
Kan_395	Positive	Negative	Negative	Negative	Negative
Kan_396	unknown state	Positive	Positive	unknown state	Positive
Kan_397	not-Kannada	unknown state	Positive	Positive	Positive
Kan_398	Positive	Positive	Positive	Positive	Positive
Kan_399	Negative	Positive	Negative	unknown state	Negative
Kan_400	Positive	Positive	Positive	Positive	Positive
Kan_401	Positive	Positive	Positive	Positive	Positive
Kan_402	Positive	Mixed feelings	Positive	Positive	Positive
Kan_403	Positive	Positive	Positive	Positive	Positive
Kan_404	Positive	Positive	Positive	Positive	Positive
Kan_405	Positive	Positive	Positive	Positive	Positive
Kan_406	Positive	Positive	Positive	Positive	Positive
Kan_407	Positive	Positive	Positive	Positive	Positive
Kan_408	Positive	Positive	Positive	Positive	Positive
Kan_409	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_410	Positive	Positive	Positive	Positive	Positive
Kan_411	Positive	Positive	Positive	Positive	Positive
Kan_412	Positive	Positive	Positive	Positive	Positive
Kan_413	Negative	not-Kannada	unknown state	unknown state	unknown state
Kan_414	Positive	Positive	Positive	not-Kannada	Positive
Kan_415	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_416	Negative	Negative	Negative	Negative	Negative
Kan_417	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_418	not-Kannada	not-Kannada	not-Kannada	Positive	not-Kannada
Kan_419	Positive	Positive	Positive	Positive	Positive
Kan_420	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_421	Positive	Negative	Positive	Positive	Positive
Kan_422	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_423	Positive	Positive	Positive	Positive	Positive
Kan_424	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_425	Mixed feelings	Negative	Negative	Negative	Negative
Kan_426	Positive	Positive	Positive	Positive	Positive
Kan_427	Negative	Mixed feelings	Positive	Positive	Positive
Kan_428	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_429	Positive	Positive	Positive	Positive	Positive
Kan_430	Positive	Negative	Negative	Negative	Negative
Kan_431	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_432	Positive	Negative	Positive	Negative	Negative
Kan_433	Positive	Positive	Positive	Positive	Positive
Kan_434	Positive	Positive	Positive	Positive	Positive
Kan_435	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_436	Positive	Positive	Positive	Positive	Positive
Kan_437	Negative	Negative	Negative	Negative	Negative
Kan_438	unknown state	unknown state	unknown state	unknown state	unknown state
Kan_439	Positive	Negative	Positive	Negative	Negative
Kan_440	not-Kannada	Negative	unknown state	unknown state	unknown state
Kan_441	Positive	Positive	Positive	Positive	Positive
Kan_442	Positive	Positive	Negative	Positive	Positive
Kan_443	Positive	Positive	Positive	Positive	Positive
Kan_444	Positive	Positive	Positive	Negative	Positive
Kan_445	Positive	Positive	Positive	Positive	Positive
Kan_446	Positive	Positive	Positive	Positive	Positive
Kan_447	Positive	Positive	Positive	Positive	Positive
Kan_448	Positive	Positive	Positive	Positive	Positive
Kan_449	Positive	Positive	Positive	Positive	Positive
Kan_450	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_451	Positive	Positive	Positive	Positive	Positive
Kan_452	Positive	Positive	Positive	Positive	Positive
Kan_453	unknown state	Positive	Positive	not-Kannada	Positive
Kan_454	Positive	Positive	Positive	Positive	Positive
Kan_455	Positive	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_456	Positive	Positive	Positive	Positive	Positive
Kan_457	not-Kannada	not-Kannada	not-Kannada	not-Kannada	not-Kannada
Kan_458	Positive	Positive	not-Kannada	not-Kannada	Positive
Kan_459	not-Kannada	Positive	not-Kannada	not-Kannada	not-Kannada
Kan_460	Positive	Negative	Positive	Positive	Positive
Kan_461	Positive	not-Kannada	not-Kannada	Positive	Positive
Kan_462	Negative	Positive	Negative	Negative	Negative
Kan_463	Positive	Positive	Positive	Positive	Positive
Kan_464	Positive	Negative	Positive	Positive	Positive
Kan_465	Positive	Positive	Positive	Negative	Positive
Kan_466	Negative	Negative	Negative	Positive	Negative
Kan_467	not-Kannada	unknown state	unknown state	unknown state	unknown state
Kan_468	Positive	Positive	Positive	not-Kannada	Positive
Kan_469	Positive	Positive	Positive	Positive	Positive
Kan_470	Positive	Positive	Negative	Positive	Positive
Kan_471	Positive	Positive	Positive	Positive	Positive
Kan_472	Negative	Positive	Negative	Negative	Negative
Kan_473	Positive	Positive	Positive	Positive	Positive
Kan_474	Positive	Positive	not-Kannada	Positive	Positive
Kan_475	Positive	Positive	Positive	Positive	Positive
Kan_476	Negative	Negative	Negative	unknown state	Negative
Kan_477	Positive	Positive	Positive	Positive	Positive
Kan_478	Positive	Positive	Positive	Positive	Positive
Kan_479	Negative	Positive	Positive	Positive	Positive
Kan_480	Positive	Negative	Positive	Positive	Positive
Kan_481	Negative	Negative	unknown state	Positive	Negative
Kan_482	Positive	Positive	Positive	Positive	Positive
Kan_483	Positive	Positive	Positive	Positive	Positive
