id	category
Kan_414	Positive
Kan_415	not-Kannada
Kan_416	Negative
Kan_417	not-Kannada
Kan_418	not-Kannada
Kan_419	Positive
Kan_420	not-Kannada
Kan_421	Positive
Kan_422	not-Kannada
Kan_423	Positive
Kan_424	not-Kannada
Kan_425	Negative
Kan_426	Positive
Kan_427	Positive
Kan_428	not-Kannada
Kan_429	Positive
Kan_430	Negative
Kan_431	not-Kannada
Kan_432	Negative
Kan_433	Positive
Kan_434	Positive
Kan_435	not-Kannada
Kan_436	Positive
Kan_437	Negative
Kan_438	unknown state
Kan_439	Negative
Kan_440	unknown state
Kan_441	Positive
Kan_442	Positive
Kan_443	Positive
Kan_444	Positive
Kan_445	Positive
Kan_446	Positive
Kan_447	Positive
Kan_448	Positive
Kan_449	Positive
Kan_450	not-Kannada
Kan_451	Positive
Kan_452	Positive
Kan_453	Positive
Kan_454	Positive
Kan_455	not-Kannada
Kan_456	Positive
Kan_457	not-Kannada
Kan_458	Positive
Kan_459	not-Kannada
Kan_460	Positive
Kan_461	Positive
Kan_462	Negative
Kan_463	Positive
Kan_464	Positive
Kan_465	Positive
Kan_466	Negative
Kan_467	unknown state
Kan_468	Positive
Kan_469	Positive
Kan_470	Positive
Kan_471	Positive
Kan_472	Negative
Kan_473	Positive
Kan_474	Positive
Kan_475	Positive
Kan_476	Negative
Kan_477	Positive
Kan_478	Positive
Kan_479	Positive
Kan_480	Positive
Kan_481	Negative
Kan_482	Positive
Kan_483	Positive
Kan_484	Negative
Kan_485	Positive
Kan_486	Negative
Kan_487	Positive
Kan_488	Positive
Kan_489	Negative
Kan_490	Negative
Kan_491	Positive
Kan_492	Positive
Kan_493	Negative
Kan_494	Negative
Kan_495	Positive
Kan_496	Mixed feelings
Kan_497	Positive
Kan_498	not-Kannada
Kan_499	unknown state
Kan_500	Negative
Kan_501	Positive
Kan_502	Positive
Kan_503	not-Kannada
Kan_504	Positive
Kan_505	Positive
Kan_506	Positive
Kan_507	Positive
Kan_508	Positive
Kan_509	Positive
Kan_510	Positive
Kan_511	Positive
Kan_512	Positive
Kan_513	Positive
Kan_514	not-Kannada
Kan_515	Positive
Kan_516	unknown state
Kan_517	Positive
Kan_518	Positive
Kan_519	not-Kannada
Kan_520	not-Kannada
Kan_521	Positive
Kan_522	Positive
Kan_523	Positive
Kan_524	Positive
Kan_525	Positive
Kan_526	Positive
Kan_527	Negative
Kan_528	Negative
Kan_529	Positive
Kan_530	Positive
Kan_531	Positive
Kan_532	Positive
Kan_533	Positive
Kan_534	Positive
Kan_535	Negative
Kan_536	Positive
Kan_537	Positive
Kan_538	Negative
Kan_539	not-Kannada
Kan_540	Positive
Kan_541	Negative
Kan_542	Positive
Kan_543	Positive
Kan_544	Positive
Kan_545	Positive
Kan_546	Positive
Kan_547	unknown state
Kan_548	not-Kannada
Kan_549	Positive
Kan_550	Positive
Kan_551	Positive
Kan_552	Negative
Kan_553	Positive
Kan_554	Positive
Kan_555	Negative
Kan_556	Positive
Kan_557	unknown state
Kan_558	Negative
Kan_559	Positive
Kan_560	not-Kannada
Kan_561	Positive
Kan_562	unknown state
Kan_563	Negative
Kan_564	Negative
Kan_565	Positive
Kan_566	Positive
Kan_567	Positive
Kan_568	Negative
Kan_569	not-Kannada
Kan_570	Positive
Kan_571	Positive
Kan_572	Negative
Kan_573	Negative
Kan_574	Positive
Kan_575	unknown state
Kan_576	Negative
Kan_577	Positive
Kan_578	Negative
Kan_579	Negative
Kan_580	Positive
Kan_581	Positive
Kan_582	not-Kannada
Kan_583	Negative
Kan_584	Positive
Kan_585	Positive
Kan_586	Positive
Kan_587	Positive
Kan_588	Positive
Kan_589	Positive
Kan_590	not-Kannada
Kan_591	Positive
Kan_592	Negative
Kan_593	Positive
Kan_594	Positive
Kan_595	Positive
Kan_596	not-Kannada
Kan_597	Positive
Kan_598	Positive
Kan_599	not-Kannada
Kan_600	Negative
Kan_601	Negative
Kan_602	not-Kannada
Kan_603	Positive
Kan_604	Positive
Kan_605	Positive
Kan_606	Positive
Kan_607	Negative
Kan_608	Positive
Kan_609	Positive
Kan_610	not-Kannada
Kan_611	Positive
Kan_612	Positive
Kan_613	not-Kannada
Kan_614	Positive
Kan_615	Positive
Kan_616	Positive
Kan_617	Positive
Kan_618	not-Kannada
Kan_619	unknown state
Kan_620	Positive
Kan_621	Positive
Kan_622	Positive
Kan_623	not-Kannada
Kan_624	not-Kannada
Kan_625	Positive
Kan_626	Negative
Kan_627	Positive
Kan_628	Positive
Kan_629	unknown state
Kan_630	unknown state
Kan_631	Negative
Kan_632	Negative
Kan_633	unknown state
Kan_634	Positive
Kan_635	not-Kannada
Kan_636	not-Kannada
Kan_637	Positive
Kan_638	not-Kannada
Kan_639	not-Kannada
Kan_640	Negative
Kan_641	Negative
Kan_642	Positive
Kan_643	Negative
Kan_644	not-Kannada
Kan_645	Positive
Kan_646	unknown state
Kan_647	Positive
Kan_648	Positive
Kan_649	Positive
Kan_650	Positive
Kan_651	Positive
Kan_652	not-Kannada
Kan_653	not-Kannada
Kan_654	Positive
Kan_655	Positive
Kan_656	Positive
Kan_657	Positive
Kan_658	Negative
Kan_659	Negative
Kan_660	Negative
Kan_661	Positive
Kan_662	not-Kannada
Kan_663	Negative
Kan_664	Negative
Kan_665	Positive
Kan_666	Positive
Kan_667	unknown state
Kan_668	Positive
Kan_669	Positive
Kan_670	Positive
Kan_671	Positive
Kan_672	not-Kannada
Kan_673	not-Kannada
Kan_674	Positive
Kan_675	not-Kannada
Kan_676	Negative
Kan_677	Positive
Kan_678	Positive
Kan_679	Positive
Kan_680	Positive
Kan_681	Negative
Kan_682	not-Kannada
Kan_683	Positive
Kan_684	not-Kannada
Kan_685	Positive
Kan_686	not-Kannada
Kan_687	Positive
Kan_688	Positive
Kan_689	Positive
Kan_690	Negative
Kan_691	Negative
Kan_692	not-Kannada
Kan_693	Positive
Kan_694	Mixed feelings
Kan_695	unknown state
Kan_696	Positive
Kan_697	not-Kannada
Kan_698	unknown state
Kan_699	Positive
Kan_700	Positive
Kan_701	Positive
Kan_702	Positive
Kan_703	Positive
Kan_704	Positive
Kan_705	Positive
Kan_706	Negative
Kan_707	Positive
Kan_708	Positive
Kan_709	Negative
Kan_710	Positive
Kan_711	Negative
Kan_712	Positive
Kan_713	Negative
Kan_714	Positive
Kan_715	Negative
Kan_716	Positive
Kan_717	Negative
Kan_718	Positive
Kan_719	Positive
Kan_720	Positive
Kan_721	Positive
Kan_722	Positive
Kan_723	Positive
Kan_724	Negative
Kan_725	Positive
Kan_726	Positive
Kan_727	Positive
Kan_728	Positive
Kan_729	Positive
Kan_730	Negative
Kan_731	Positive
Kan_732	Positive
Kan_733	Positive
Kan_734	Positive
Kan_735	Positive
Kan_736	Positive
Kan_737	Positive
Kan_738	Negative
Kan_739	Positive
Kan_740	Positive
Kan_741	Negative
Kan_742	unknown state
Kan_743	Negative
Kan_744	Negative
Kan_745	Negative
Kan_746	not-Kannada
Kan_747	Positive
Kan_748	Positive
Kan_749	Positive
Kan_750	Positive
Kan_751	Positive
Kan_752	Negative
Kan_753	not-Kannada
Kan_754	unknown state
Kan_755	Positive
Kan_756	Positive
Kan_757	not-Kannada
Kan_758	unknown state
Kan_759	unknown state
Kan_760	Positive
Kan_761	Positive
Kan_762	Positive
Kan_763	Positive
Kan_764	Positive
Kan_765	Negative
Kan_766	Positive
Kan_767	Positive
Kan_768	Negative
